1 1 1 1   5.00000000000E+002  5.00000000000E+002  0.00000000000E+000  2.70230834288E+002  1.50000000000E+003
1 1 1 5   5.00000000000E+002  5.00000000000E+002  1.51515151515E+001  2.69796426239E+002  1.48484848485E+003
1 1 1 9   5.00000000000E+002  5.00000000000E+002  3.03030303030E+001  2.69364480485E+002  1.46969696970E+003
1 1 1 13   5.00000000000E+002  5.00000000000E+002  4.54545454545E+001  2.68934402185E+002  1.45454545455E+003
1 1 1 17   5.00000000000E+002  5.00000000000E+002  6.06060606061E+001  2.68506427797E+002  1.43939393939E+003
1 1 1 21   5.00000000000E+002  5.00000000000E+002  7.57575757576E+001  2.68080771693E+002  1.42424242424E+003
1 1 1 25   5.00000000000E+002  5.00000000000E+002  9.09090909091E+001  2.67657640613E+002  1.40909090909E+003
1 1 1 29   5.00000000000E+002  5.00000000000E+002  1.06060606061E+002  2.67237233287E+002  1.39393939394E+003
1 1 1 33   5.00000000000E+002  5.00000000000E+002  1.21212121212E+002  2.66819740317E+002  1.37878787879E+003
1 1 1 37   5.00000000000E+002  5.00000000000E+002  1.36363636364E+002  2.66405344104E+002  1.36363636364E+003
1 1 1 41   5.00000000000E+002  5.00000000000E+002  1.51515151515E+002  2.65994218795E+002  1.34848484848E+003
1 1 1 45   5.00000000000E+002  5.00000000000E+002  1.66666666667E+002  2.65586530266E+002  1.33333333333E+003
1 1 1 49   5.00000000000E+002  5.00000000000E+002  1.81818181818E+002  2.65182436126E+002  1.31818181818E+003
1 1 1 53   5.00000000000E+002  5.00000000000E+002  1.96969696970E+002  2.64782085745E+002  1.30303030303E+003
1 1 1 57   5.00000000000E+002  5.00000000000E+002  2.12121212121E+002  2.64385620309E+002  1.28787878788E+003
1 1 1 61   5.00000000000E+002  5.00000000000E+002  2.27272727273E+002  2.63993172889E+002  1.27272727273E+003
1 1 1 65   5.00000000000E+002  5.00000000000E+002  2.42424242424E+002  2.63604868532E+002  1.25757575758E+003
1 1 1 69   5.00000000000E+002  5.00000000000E+002  2.57575757576E+002  2.63220824368E+002  1.24242424242E+003
1 1 1 73   5.00000000000E+002  5.00000000000E+002  2.72727272727E+002  2.62841149730E+002  1.22727272727E+003
1 1 1 77   5.00000000000E+002  5.00000000000E+002  2.87878787879E+002  2.62465946287E+002  1.21212121212E+003
1 1 1 81   5.00000000000E+002  5.00000000000E+002  3.03030303030E+002  2.62095308193E+002  1.19696969697E+003
1 1 1 85   5.00000000000E+002  5.00000000000E+002  3.18181818182E+002  2.61729322236E+002  1.18181818182E+003
1 1 1 89   5.00000000000E+002  5.00000000000E+002  3.33333333333E+002  2.61368068009E+002  1.16666666667E+003
1 1 1 93   5.00000000000E+002  5.00000000000E+002  3.48484848485E+002  2.61011618075E+002  1.15151515152E+003
1 1 1 97   5.00000000000E+002  5.00000000000E+002  3.63636363636E+002  2.60660038148E+002  1.13636363636E+003
1 1 1 101   5.00000000000E+002  5.00000000000E+002  3.78787878788E+002  2.60313387276E+002  1.12121212121E+003
1 1 1 105   5.00000000000E+002  5.00000000000E+002  3.93939393939E+002  2.59971718023E+002  1.10606060606E+003
1 1 1 109   5.00000000000E+002  5.00000000000E+002  4.09090909091E+002  2.59635076666E+002  1.09090909091E+003
1 1 1 113   5.00000000000E+002  5.00000000000E+002  4.24242424242E+002  2.59303503379E+002  1.07575757576E+003
1 1 1 117   5.00000000000E+002  5.00000000000E+002  4.39393939394E+002  2.58977032435E+002  1.06060606061E+003
1 1 1 121   5.00000000000E+002  5.00000000000E+002  4.54545454545E+002  2.58655692395E+002  1.04545454545E+003
1 1 1 125   5.00000000000E+002  5.00000000000E+002  4.69696969697E+002  2.58339506306E+002  1.03030303030E+003
1 1 1 129   5.00000000000E+002  5.00000000000E+002  4.84848484848E+002  2.58028491895E+002  1.01515151515E+003
1 1 1 133   5.00000000000E+002  5.00000000000E+002  5.00000000000E+002  2.57722661762E+002  1.00000000000E+003
1 1 1 137   5.00000000000E+002  5.00000000000E+002  5.15151515152E+002  2.57422023576E+002  9.84848484848E+002
1 1 1 141   5.00000000000E+002  5.00000000000E+002  5.30303030303E+002  2.57126580265E+002  9.69696969697E+002
1 1 1 145   5.00000000000E+002  5.00000000000E+002  5.45454545455E+002  2.56836330206E+002  9.54545454545E+002
1 1 1 149   5.00000000000E+002  5.00000000000E+002  5.60606060606E+002  2.56551267410E+002  9.39393939394E+002
1 1 1 153   5.00000000000E+002  5.00000000000E+002  5.75757575758E+002  2.56271381711E+002  9.24242424242E+002
1 1 1 157   5.00000000000E+002  5.00000000000E+002  5.90909090909E+002  2.55996658948E+002  9.09090909091E+002
1 1 1 161   5.00000000000E+002  5.00000000000E+002  6.06060606061E+002  2.55727081138E+002  8.93939393939E+002
1 1 1 165   5.00000000000E+002  5.00000000000E+002  6.21212121212E+002  2.55462626663E+002  8.78787878788E+002
1 1 1 169   5.00000000000E+002  5.00000000000E+002  6.36363636364E+002  2.55203270434E+002  8.63636363636E+002
1 1 1 173   5.00000000000E+002  5.00000000000E+002  6.51515151515E+002  2.54948984064E+002  8.48484848485E+002
1 1 1 177   5.00000000000E+002  5.00000000000E+002  6.66666666667E+002  2.54699736035E+002  8.33333333333E+002
1 1 1 181   5.00000000000E+002  5.00000000000E+002  6.81818181818E+002  2.54455491862E+002  8.18181818182E+002
